
169,7.26671,	(167.643,21.3765,0.126828)
168,7.7699,	(166.458,22.7128,0.13561)
168,8.31006,	(166.236,24.281,0.145038)
167,8.81282,	(165.028,25.5856,0.153813)
166,9.32184,	(163.808,26.8887,0.162697)
165,9.81924,	(162.583,28.1392,0.171378)
165,10.355,	(162.313,29.6581,0.180728)
164,10.8519,	(161.067,30.8765,0.189402)
163,11.3484,	(159.813,32.0743,0.198067)
162,11.8444,	(158.551,33.2513,0.206724)
162,12.3802,	(158.233,34.7324,0.216075)
161,12.8757,	(156.952,35.8768,0.224724)
161,13.4226,	(156.602,37.3732,0.234268)
160,13.9266,	(155.297,38.5086,0.243065)
160,14.4712,	(154.924,39.9831,0.252571)
159,14.9748,	(153.6,41.0846,0.261359)
158,15.4777,	(152.27,42.1645,0.270137)
158,16.0224,	(151.862,43.61,0.279643)
157,16.5249,	(150.515,44.6558,0.288414)
157,17.0695,	(150.084,46.0845,0.29792)
156,17.5737,	(148.719,47.1016,0.30672)
156,18.1228,	(148.261,48.5246,0.316303)
155,18.6287,	(146.879,49.5124,0.325133)
155,19.1779,	(146.398,50.9177,0.334717)
155,19.727,	(145.903,52.3185,0.344301)
154,20.2324,	(144.498,53.2575,0.353121)
154,20.7815,	(143.981,54.6399,0.362705)
153,21.2863,	(142.562,55.5433,0.371516)
153,21.8331,	(142.025,56.9015,0.38106)
153,22.3733,	(141.483,58.2379,0.390488)
152,22.8687,	(140.053,59.0702,0.399133)
152,23.4088,	(139.489,60.388,0.408561)
152,23.949,	(138.914,61.7004,0.417989)
151,24.4438,	(137.466,62.4838,0.426624)
151,24.9839,	(136.87,63.777,0.436052)
151,25.5241,	(136.263,65.0646,0.44548)
150,26.025,	(134.79,65.8145,0.454222)
150,26.5719,	(134.156,67.098,0.463767)
150,27.1188,	(133.51,68.3755,0.473312)
150,27.6656,	(132.851,69.6466,0.482856)
149,28.1659,	(131.356,70.3319,0.491588)
149,28.7128,	(130.679,71.5825,0.501133)
149,29.2597,	(129.99,72.8265,0.510678)
149,29.8065,	(129.289,74.0639,0.520222)
148,30.2906,	(127.795,74.6491,0.528671)
148,30.8308,	(127.085,75.8507,0.538099)
148,31.371,	(126.365,77.0454,0.547526)
148,31.9111,	(125.633,78.2333,0.556955)
148,32.4513,	(124.889,79.4142,0.566382)
148,32.9915,	(124.135,80.5882,0.57581)
148,33.5317,	(123.37,81.7548,0.585238)
148,34.0718,	(122.594,82.9143,0.594666)
148,34.6031,	(121.82,84.0475,0.603938)
148,35.141,	(121.025,85.1875,0.613327)
147,35.6312,	(119.479,85.6371,0.621881)
148,36.2169,	(119.404,87.4449,0.632105)
147,36.7071,	(117.85,87.8655,0.640659)
147,37.245,	(117.02,88.968,0.650048)
147,37.783,	(116.18,90.0628,0.659437)
148,38.3687,	(116.037,91.8665,0.669661)
147,38.8522,	(114.479,92.215,0.678098)
148,39.4402,	(114.299,94.0203,0.688361)
148,39.9803,	(113.407,95.0936,0.697788)
148,40.5205,	(112.506,96.1586,0.707216)
148,41.0607,	(111.594,97.215,0.716644)
148,41.6009,	(110.673,98.2628,0.726072)
148,42.141,	(109.741,99.3018,0.7355)
148,42.6812,	(108.8,100.332,0.744928)
148,43.2281,	(107.838,101.366,0.754473)
148,43.766,	(106.881,102.374,0.763861)
148,44.304,	(105.915,103.373,0.773251)
148,44.8419,	(104.94,104.363,0.782639)
148,45.3799,	(103.956,105.343,0.792028)
147,45.87,	(102.354,105.511,0.800583)

159,59.4435,	(80.8336,136.919,1.03748)
160,60.027,	(79.9346,138.602,1.04767)
161,60.6101,	(79.0108,140.279,1.05785)
161,61.1413,	(77.7067,141.006,1.06712)
162,61.7194,	(76.7539,142.663,1.07721)
163,62.2971,	(75.7766,144.315,1.08729)
163,62.835,	(74.4184,145.02,1.09668)
164,63.4122,	(73.4013,146.657,1.10675)
165,63.9889,	(72.36,148.287,1.11682)
166,64.5652,	(71.2944,149.91,1.12687)
167,65.1409,	(70.2047,151.527,1.13692)
168,65.7253,	(69.0669,153.146,1.14712)
168,66.2677,	(67.614,153.793,1.15659)
169,66.8471,	(66.4486,155.389,1.1667)
170,67.4261,	(65.2588,156.975,1.17681)
171,68.0046,	(64.0449,158.554,1.18691)
172,68.5828,	(62.8068,160.123,1.197)
173,69.1606,	(61.5448,161.683,1.20708)
174,69.738,	(60.2587,163.233,1.21716)
176,70.3536,	(59.1737,165.754,1.2279)
177,70.941,	(57.7979,167.297,1.23815)
178,71.528,	(56.3976,168.829,1.2484)
179,72.1147,	(54.9732,170.349,1.25864)
180,72.701,	(53.5244,171.858,1.26887)
182,73.319,	(52.2418,174.341,1.27966)
183,73.9043,	(50.7354,175.826,1.28987)
184,74.4892,	(49.2052,177.299,1.30008)
185,75.0671,	(47.6721,178.752,1.31017)
187,75.6684,	(46.2886,181.18,1.32066)
188,76.2387,	(44.721,182.603,1.33062)
190,76.8381,	(43.2636,185.009,1.34108)
191,77.4074,	(41.6411,186.406,1.35101)
193,78.0051,	(40.1102,188.786,1.36145)
194,78.5736,	(38.4333,190.155,1.37137)
196,79.1695,	(36.8292,192.509,1.38177)
197,79.7282,	(35.1286,193.843,1.39152)
199,80.3136,	(33.4829,196.163,1.40174)
0,80.4421,	(0,0,1.40398)
0,80.9734,	(0,0,1.41325)
0,81.5046,	(0,0,1.42252)
185,82.0359,	(25.6323,183.216,1.4318)
199,82.9698,	(24.356,197.504,1.4481)
198,83.4742,	(22.503,196.717,1.4569)
196,83.9664,	(20.602,194.914,1.46549)
194,84.4553,	(18.7448,193.092,1.47402)
193,84.9716,	(16.9163,192.257,1.48303)
192,85.4877,	(15.1053,191.405,1.49204)
190,85.9743,	(13.3389,189.531,1.50053)
189,86.4894,	(11.573,188.645,1.50953)
188,87.0043,	(9.82504,187.743,1.51851)
187,87.5189,	(8.0953,186.825,1.52749)
0,87.958,	(0,0,1.53516)
184,88.5138,	(4.7723,183.938,1.54486)
182,89.0065,	(3.1557,181.973,1.55346)
181,89.5303,	(1.48386,180.994,1.5626)
181,90.0861,	(-0.271877,181,1.5723)
180,90.6095,	(-1.91473,179.99,1.58143)
0,91.066,	(-0,0,1.5894)
177,91.6218,	(-5.00946,176.929,1.5991)
176,92.1349,	(-6.5563,175.878,1.60806)
175,92.6386,	(-8.05626,174.814,1.61685)
174,93.142,	(-9.53701,173.738,1.62563)
173,93.6449,	(-10.9982,172.65,1.63441)
174,94.2179,	(-12.7976,173.529,1.64441)
0,94.6136,	(-0,0,1.65132)
170,95.1515,	(-15.2643,169.313,1.66071)
